lists,background,MEdarkorange,MEsaddlebrown,MEsalmon,MEdarkturquoise,MEsteelblue,MEmidnightblue,MEtan,MElightcyan,MEgreen,MEsienna3,MEdarkred,MEgreenyellow,MEwhite,MEdarkgrey,MEdarkolivegreen,MEred,MEpink,MEpurple,MEdarkmagenta,MEbrown,MElightgreen,MEyellow,MEdarkgreen
NA,GB14128,GB50787,GB54893,GB49124,GB53931,LOC100577603,GB49478,GB47974,GB52756,GB41663,NA,GB47162,GB45049,GB50359,GB46728,GB53944,GB42770,GB43551,GB44900,LOC100578779,GB42183,GB47470,GB42576,GB49110
NA,GB14243,GB50874,GB55183,GB49237,GB54139,LOC100578367,GB49502,GB48129,GB52955,GB41677,NA,GB47235,GB45078,GB50370,GB46877,GB54332,GB42772,GB43581,GB45036,LOC102653879,GB42244,GB47918,GB42613,GB49115
NA,GB14259,GB50897,GB55328,GB49260,GB54165,LOC100578678,GB49552,GB48148,GB53105,GB41698,NA,GB47341,GB45084,GB50921,GB46973,GB54378,GB42785,GB43660,GB45071,LOC102654282,GB42300,GB48173,GB42637,GB49188
NA,GB14288,GB51261,GB55375,GB49401,GB54574,LOC100578777,GB49885,GB48350,GB53331,GB41756,NA,GB47345,GB45106,GB50923,GB47092,GB54780,GB42862,GB43677,GB45076,LOC102655600,GB42313,GB48337,GB42681,GB49342
NA,GB14293,GB51409,GB55483,GB49504,GB54791,LOC100579059,GB49973,GB48512,GB53332,GB41815,NA,GB47475,GB45126,GB50945,GB47199,GB54974,GB42872,GB43709,GB45150,LOC102656214,GB42326,GB48552,GB42682,GB49660
NA,GB14455,GB51511,GB55485,GB49626,GB54888,LOC102653666,GB50157,GB48555,GB53624,GB41846,NA,GB47719,GB45137,GB50955,GB47307,GB54980,GB42907,GB43739,GB45277,LOC102656430,GB42350,GB48603,GB42693,GB49897
NA,GB14502,GB51743,GB55598,GB49801,GB54923,LOC102653690,GB50178,GB48723,GB53792,GB41859,NA,GB47820,GB45300,GB50957,GB47419,GB55080,GB42966,GB43751,GB45278,LOC102656587,GB42366,GB48791,GB42825,GB50181
NA,GB14553,GB51818,GB56009,GB49843,GB55170,LOC102654030,GB50228,GB48881,GB53803,GB41873,NA,GB48209,GB45364,GB50997,GB47488,GB55440,GB43081,GB43787,GB45283,LOC107965218,GB42377,GB49093,GB42851,GB50350
NA,GB14569,GB51841,ID=rna28331;anticodon=(pos:31..33);gbkey=tRNA;product=tRNA-Glu,GB49862,GB55264,LOC102654088,GB50265,GB48937,GB53960,GB41970,NA,GB48456,GB45373,GB51066,GB47543,GB55582,GB43153,GB43814,GB45313,LOC107965363,GB42385,GB49295,GB42881,GB50375
NA,GB14598,GB52026,LOC100576080,GB49890,GB55337,LOC102654122,GB50509,GB49184,GB54123,GB42018,NA,GB48619,GB45456,GB51113,GB47687,GB55916,GB43159,GB43862,GB45335,LOC113218534,GB42500,GB49332,GB42897,GB50439
NA,GB14620,GB52432,LOC100577125,GB49990,GB55596,LOC102654257,GB50546,GB49384,GB54300,GB42032,NA,GB48832,GB45525,GB51348,GB48251,ID=rna28342;gbkey=tRNA;product=tRNA-Lys,GB43178,GB43921,GB45395,LOC113218670,GB42508,GB49339,GB42919,GB50497
NA,GB14733,GB52742,LOC100577201,GB50005,GB55803,LOC102654769,GB50585,GB49441,GB54506,GB42036,NA,GB48925,GB45613,GB51349,GB48463,LOC102654640,GB43192,GB44017,GB45438,LOC113218768,GB42588,GB49611,GB42960,GB50553
NA,GB14753,GB52827,LOC100577943,GB50034,LOC100576330,LOC102654772,GB50596,GB49544,GB54522,GB42089,NA,GB48951,GB45686,GB51360,GB48601,LOC107963991,GB43194,GB44092,GB45463,LOC113218940,GB42598,GB49684,GB43004,GB50643
NA,GB14793,GB52829,LOC102653609,GB50241,LOC100576573,LOC102654804,GB50627,GB49649,GB54569,GB42161,NA,GB49012,GB45719,GB51406,GB48623,LOC107965181,GB43215,GB44134,GB45479,LOC113219058,GB42607,GB49703,GB43113,GB50756
NA,GB14841,GB53088,LOC102654259,GB50486,LOC100576644,LOC102654929,GB50648,GB49901,GB54611,GB42168,NA,GB49020,GB45757,GB51486,GB48872,LOC107965270,GB43218,GB44175,GB45518,LOC113219102,GB42672,GB49837,GB43122,GB50796
NA,GB14937,GB53268,LOC102654353,GB50492,LOC100576903,LOC102654995,GB50888,GB49929,GB54747,GB42195,NA,GB49040,GB45860,GB51522,GB49042,LOC107966089,GB43236,GB44213,GB45542,LOC113219424,GB42732,GB49947,GB43123,GB50840
NA,GB14943,GB53307,LOC102654569,GB50532,LOC100577107,LOC102655078,GB50906,GB50013,GB54806,GB42537,NA,GB49117,GB45973,GB51535,GB49089,LOC113218573,GB43299,GB44237,GB45623,LOC551635,GB42740,GB49982,GB43138,GB50920
NA,GB14946,GB53385,LOC102654905,GB50550,LOC100577384,LOC102655131,GB51051,GB50101,GB54847,GB42612,NA,GB49146,GB46012,GB51596,GB49169,LOC113218592,GB43310,GB44296,GB45658,LOC725607,GB42764,GB50037,GB43182,GB50966
NA,GB14963,GB53401,LOC102655028,GB50573,LOC100577544,LOC102655469,GB51303,GB50121,GB55070,GB42679,NA,GB49486,GB46016,GB51717,GB49285,LOC113218624,GB43479,GB44321,GB45690,LOC727144,GB42797,GB50159,GB43211,GB50978
NA,GB14998,GB53677,LOC102655046,GB50722,LOC100577620,LOC102655645,GB51354,GB50481,GB55630,GB42685,NA,GB49500,GB46064,GB51984,GB49351,LOC113218864,GB43483,GB44325,GB45709,NA,GB42799,GB50352,GB43332,GB50993
NA,GB15085,GB53830,LOC102655120,GB50837,LOC100577646,LOC102655781,GB51551,GB50508,GB55846,GB42696,NA,GB49661,GB46203,GB52407,GB49489,LOC113219337,GB43487,GB44402,GB45821,NA,GB42924,GB50629,GB43401,GB51043
NA,GB15087,GB54150,LOC102655229,GB51063,LOC100577759,LOC102655864,GB51580,GB50593,GB55851,GB42798,NA,GB49690,GB46250,GB52536,GB49518,NA,GB43520,GB44504,GB45845,NA,GB42973,GB50686,GB43403,GB51071
NA,GB15106,GB54203,LOC102655585,GB51068,LOC100578444,LOC102655870,GB51666,GB50655,GB56027,GB42809,NA,GB50004,GB46299,GB52575,GB49556,NA,GB43553,GB44649,GB45919,NA,GB42984,GB50746,GB43455,GB51077
NA,GB15109,GB54294,LOC102655764,GB51189,LOC100578669,LOC102655966,GB51833,GB50883,LOC100576189,GB42887,NA,GB50069,GB46306,GB52673,GB49758,NA,GB43687,GB44679,GB45932,NA,GB43007,GB50841,GB43591,GB51366
NA,GB15119,GB54404,LOC102656174,GB51220,LOC100578882,LOC102656015,GB52074,GB51174,LOC100576207,GB43115,NA,GB50130,GB46457,GB52676,GB50156,NA,GB43729,GB44711,GB46113,NA,GB43015,GB51281,GB43705,GB51608
NA,GB15128,GB54861,LOC102656212,GB51247,LOC102653714,LOC102656182,GB52097,GB51227,LOC100576277,GB43116,NA,GB50168,GB46509,GB52849,GB50339,NA,GB43735,GB44726,GB46144,NA,GB43054,GB51346,GB43789,GB51690
NA,GB15216,GB55036,LOC102656274,GB51482,LOC102654175,LOC102656186,GB52179,GB51244,LOC100576519,GB43161,NA,GB50276,GB46615,GB52916,GB50772,NA,GB43770,GB44744,GB46169,NA,GB43076,GB51419,GB43848,GB51830
NA,GB15285,GB55039,LOC102656644,GB51799,LOC102654300,LOC102656189,GB52324,GB51356,LOC100576637,GB43180,NA,GB50304,GB46813,GB53021,GB51332,NA,GB43856,GB44798,GB46211,NA,GB43079,GB51582,GB43867,GB52030
NA,GB15384,GB55040,LOC102656656,GB52033,LOC102654581,LOC102656265,GB52362,GB51383,LOC100576690,GB43228,NA,GB50364,GB46971,GB53909,GB51444,NA,GB43873,GB44799,GB46325,NA,GB43088,GB51615,GB43991,GB52152
