"Phero_genes"	"Food_genes"	"interxn_genes"	"allDEG"	"Food_down"	"Food_up"	"EBO_down"	"EBO_up"	"BP_up"	"BP_down"	"background"
"551599"	"725325"	"408818"	"551599"	"409095"	"725938"	"413371"				"100576296"
"100577202"	"552277"	"412667"	"100577202"	"409124"	"725941"	"413551"				"100576298"
"107964998"	"411272"	"413407"	"107964998"	"409228"	"725988"	"413679"				"100576300"
"100578952"	"410521"	"552095"	"100578952"	"409306"	"726223"	"413785"				"100576304"
"409166"	"100576326"	"552402"	"409166"	"409368"	"726307"	"413789"				"100576307"
"724731"	"552005"	"726445"	"724731"	"409469"	"726370"	"413868"				"100576320"
"726513"	"552832"	"409924"	"726513"	"409490"	"726373"	"413995"				"100576321"
"100577386"	"413995"	"411805"	"100577386"	"409602"	"726392"	"544670"				"100576326"
"413133"	"107965562"	"411167"	"413133"	"409619"	"726412"	"550686"				"100576330"
"726631"	"726228"	"409703"	"726631"	"409666"	"726445"	"550785"				"100576333"
"100577735"	"406094"	"413785"	"100577735"	"409802"	"726710"	"550791"				"100576336"
"409499"	"726165"	"724795"	"409499"	"409816"	"726742"	"550804"				"100576337"
"413592"	"724153"	"724251"	"413592"	"409861"	"726997"	"550886"				"100576341"
"411072"	"550804"	"552070"	"411072"	"410059"	"727479"	"551077"				"100576346"
"724370"	"411622"	"100576151"	"724370"	"410092"	"727639"	"551094"				"100576348"
"409056"	"409666"	"408291"	"409056"	"410228"		"551167"				"100576349"
"727634"	"410626"	"102655188"	"727634"	"410236"		"551223"				"100576355"
"412636"	"725031"	"408572"	"412636"	"410282"		"551233"				"100576359"
"411985"	"100576508"	"551379"	"411985"	"410288"		"551241"				"100576366"
"102653839"	"724640"	"107964133"	"102653839"	"410399"		"551280"				"100576369"
"408796"	"409816"	"552493"	"408796"	"410479"		"551428"				"100576370"
"726002"	"406065"	"100576924"	"726002"	"410484"		"551643"				"100576373"
"411125"	"551765"	"411863"	"411125"	"410489"		"551758"				"100576374"
"410766"	"724907"	"725258"	"410766"	"410492"		"551765"				"100576378"
"411105"	"725462"	"102655238"	"411105"	"410517"		"551806"				"100576381"
"410710"	"410399"	"102656661"	"410710"	"410521"		"551837"				"100576382"
"409713"	"100578263"	"411207"	"409713"	"410583"		"551879"				"100576383"
"113218521"	"551582"	"412859"	"113218521"	"410603"		"551950"				"100576384"
"413785"	"408989"	"100642173"	"413785"	"410621"		"552100"				"100576387"
"724851"	"410960"	"409228"	"724851"	"410624"		"552286"				"100576392"
"409016"	"412475"	"408670"	"409016"	"410626"		"552293"				"100576395"
"551080"	"410893"	"411452"	"551080"	"410734"		"552377"				"100576400"
"102655814"	"552459"	"100578816"	"102655814"	"410743"		"552447"				"100576401"
"409167"	"411983"	"411983"	"409167"	"410751"		"552712"				"100576402"
"409781"	"410282"	"102654384"	"409781"	"410788"		"724153"				"100576404"
"409897"	"552561"	"411691"	"409897"	"410824"		"724211"				"100576405"
"409921"	"551241"	"724145"	"409921"	"410828"		"724235"				"100576410"
"411315"	"413560"	"113219416"	"411315"	"410829"		"724286"				"100576411"
"410577"	"102655838"	"408525"	"410577"	"410837"		"724293"				"100576412"
"408446"	"725154"	"724583"	"408446"	"410893"		"724552"				"100576413"
"551744"	"725008"	"725031"	"551744"	"410960"		"724583"				"100576414"
"409650"	"412166"	"102655838"	"409650"	"411100"		"724608"				"100576418"
"409701"	"113218532"	"725334"	"409701"	"411159"		"724640"				"100576421"
