"Phero_genes"	"Food_genes"	"interxn_genes"	"allDEG"	"Food_down"	"Food_up"	"EBO_down"	"EBO_up"	"BP_up"	"BP_down"	"BPvEBO_up"	"BPvEBO_down"	"background"
			"107965272"									"100576993"
			"726247"									"100576994"
			"100576307"									"100576996"
			"725776"									"100577000"
			"102654792"									"100577002"
			"100578173"									"100577003"
			"410583"									"100577004"
			"724390"									"100577014"
			"411846"									"100577017"
			"725500"									"100577019"
			"102654625"									"100577020"
			"412663"									"100577024"
			"551077"									"100577026"
			"100576277"									"100577027"
			"724378"									"100577028"
			"107965165"									"100577030"
			"413749"									"100577033"
			"409025"									"100577044"
			"411159"									"100577045"
			"726361"									"100577046"
			"100578929"									"100577047"
			"100578361"									"100577050"
			"100577772"									"100577053"
			"408864"									"100577060"
			"726205"									"100577073"
			"100576681"									"100577074"
			"408525"									"100577080"
			"726126"									"100577081"
			"107965038"									"100577082"
			"411452"									"100577092"
			"100578816"									"100577094"
			"100577699"									"100577098"
			"726814"									"100577101"
			"551850"									"100577102"
			"552738"									"100577106"
			"411253"									"100577107"
			"413000"									"100577112"
			"100577017"									"100577113"
			"113219297"									"100577118"
			"725606"									"100577120"
			"551799"									"100577121"
			"725688"									"100577122"
			"107964152"									"100577127"
			"406146"									"100577132"
			"100578464"									"100577136"
			"726260"									"100577138"
			"100578678"									"100577139"
			"552419"									"100577140"
			"409861"									"100577142"
			"102655465"									"100577145"
			"411303"									"100577146"
			"408732"									"100577149"
			"102653945"									"100577155"
			"102654095"									"100577159"
			"552766"									"100577163"
			"725074"									"100577165"
			"552318"									"100577168"
			"551678"									"100577174"
			"725245"									"100577180"
			"552780"									"100577181"
			"412694"									"100577188"
			"100577053"									"100577189"
			"102656661"									"100577192"
			"410517"									"100577194"
			"102655779"									"100577196"
			"408965"									"100577197"
			"552811"									"100577198"
			"413186"									"100577202"
			"100577980"									"100577209"
			"725414"									"100577213"
			"552028"									"100577214"
			"726818"									"100577216"
			"551553"									"100577220"
			"724756"									"100577221"
			"409124"									"100577222"
			"100578113"									"100577226"
			"552799"									"100577228"
			"413997"									"100577231"
			"551005"									"100577237"
