,Phero_genes,Food_genes,interxn_genes,allDEG,Food_down,Food_up,EBO_down,EBO_up,BP_up,BP_down,background
507,,,,100578524,,,,,,,100577239
508,,,,100577017,,,,,,,100577242
509,,,,411609,,,,,,,100577250
510,,,,408444,,,,,,,100577252
511,,,,550677,,,,,,,100577253
512,,,,552512,,,,,,,100577254
513,,,,107964024,,,,,,,100577255
514,,,,411387,,,,,,,100577263
515,,,,412788,,,,,,,100577268
516,,,,724776,,,,,,,100577269
517,,,,113218956,,,,,,,100577272
518,,,,408453,,,,,,,100577273
519,,,,102656088,,,,,,,100577279
520,,,,409095,,,,,,,100577280
521,,,,412827,,,,,,,100577283
522,,,,551579,,,,,,,100577285
523,,,,410751,,,,,,,100577288
524,,,,726970,,,,,,,100577293
525,,,,410228,,,,,,,100577295
526,,,,552728,,,,,,,100577296
527,,,,726247,,,,,,,100577300
