"","Phero_genes","Food_genes","interxn_genes","allDEG","Food_down","Food_up","EBO_down","EBO_up","BP_up","BP_down","BPvEBO_up","BPvEBO_down","background"
"172","726786","107964152",NA,"726786","551806",NA,NA,NA,NA,NA,NA,"551806","100576544"
"173","550671","406146",NA,"550671","551837",NA,NA,NA,NA,NA,NA,"551837","100576547"
"174","410465","410837",NA,"410465","551850",NA,NA,NA,NA,NA,NA,"551850","100576552"
"175","100578733","725258",NA,"100578733","551935",NA,NA,NA,NA,NA,NA,"551935","100576554"
"176","408470","100578464",NA,"408470","552028",NA,NA,NA,NA,NA,NA,"552028","100576559"
"177","726040","726260",NA,"726040","552277",NA,NA,NA,NA,NA,NA,"552277","100576563"
"178","724580","100578678",NA,"724580","552286",NA,NA,NA,NA,NA,NA,"552286","100576565"
"179","726251","552419",NA,"726251","552318",NA,NA,NA,NA,NA,NA,"552318","100576569"
"180","410380","409861",NA,"410380","552391",NA,NA,NA,NA,NA,NA,"552391","100576571"
"181","410626","100577192",NA,"410626","552419",NA,NA,NA,NA,NA,NA,"552419","100576572"
"182","102655181","102655465",NA,"102655181","552447",NA,NA,NA,NA,NA,NA,"552447","100576585"
"183","100576271","726860",NA,"100576271","552493",NA,NA,NA,NA,NA,NA,"552493","100576586"
"184","724694","411303",NA,"724694","552503",NA,NA,NA,NA,NA,NA,"552503","100576590"
"185","411706","408732",NA,"411706","552512",NA,NA,NA,NA,NA,NA,"552512","100576591"
"186","726441","102653945",NA,"726441","552546",NA,NA,NA,NA,NA,NA,"552546","100576592"
"187","408544","102654095",NA,"408544","552712",NA,NA,NA,NA,NA,NA,"552712","100576597"
"188","408395","725922",NA,"408395","552738",NA,NA,NA,NA,NA,NA,"552738","100576600"
"189","409852","552766",NA,"409852","552766",NA,NA,NA,NA,NA,NA,"552766","100576602"
"190","409801","725074",NA,"409801","552780",NA,NA,NA,NA,NA,NA,"552780","100576603"
"191","406155","552318",NA,"406155","552799",NA,NA,NA,NA,NA,NA,"552799","100576606"
"192","726798","100576657",NA,"726798","552811",NA,NA,NA,NA,NA,NA,"552811","100576608"
"193","409173","551678",NA,"409173","552832",NA,NA,NA,NA,NA,NA,"552832","100576609"
"194","411564","725245",NA,"411564","724188",NA,NA,NA,NA,NA,NA,"724188","100576610"
"195","409602","411863",NA,"409602","724208",NA,NA,NA,NA,NA,NA,"724208","100576612"
"196","409740","550686",NA,"409740","724378",NA,NA,NA,NA,NA,NA,"724378","100576614"
"197","449496","552780",NA,"449496","724390",NA,NA,NA,NA,NA,NA,"724390","100576615"
"198","100577883","412694",NA,"100577883","724421",NA,NA,NA,NA,NA,NA,"724421","100576617"
"199","552447","100577053",NA,"552447","724552",NA,NA,NA,NA,NA,NA,"724552","100576619"
"200","725026","408291",NA,"725026","724583",NA,NA,NA,NA,NA,NA,"724583","100576620"
"201","100576118","102656661",NA,"100576118","724756",NA,NA,NA,NA,NA,NA,"724756","100576621"
"202","724865","412859",NA,"724865","724776",NA,NA,NA,NA,NA,NA,"724776","100576623"
"203","768250","410517",NA,"768250","724865",NA,NA,NA,NA,NA,NA,"724865","100576625"
"204","550791","102655779",NA,"550791","724907",NA,NA,NA,NA,NA,NA,"724907","100576640"
"205","104794352","412304",NA,"104794352","724951",NA,NA,NA,NA,NA,NA,"724951","100576645"
