taget_id	GeneID
GB46446-RA	GB46446
GB46485-RA	GB46485
GB46486-RA	GB46486
GB46487-RA	GB46487
GB46444-RA	GB46444
GB46488-RA	GB46488
GB46489-RA	GB46489
GB46490-RA	GB46490
GB46443-RA	GB46443
GB46442-RA	GB46442
GB46491-RA	GB46491
GB46492-RA	GB46492
GB46493-RA	GB46493
GB46441-RA	GB46441
GB46494-RA	GB46494
GB46440-RA	GB46440
GB46439-RA	GB46439
GB46438-RA	GB46438
GB46437-RA	GB46437
GB46436-RA	GB46436
GB46435-RA	GB46435
GB46434-RA	GB46434
GB46433-RA	GB46433
GB46495-RA	GB46495
GB46432-RA	GB46432
GB46496-RA	GB46496
GB46431-RA	GB46431
GB46430-RA	GB46430
GB46429-RA	GB46429
GB46428-RA	GB46428
GB46427-RA	GB46427
GB46498-RA	GB46498
GB46500-RA	GB46500
GB46426-RA	GB46426
GB46501-RA	GB46501
GB46502-RA	GB46502
GB46425-RA	GB46425
GB46424-RA	GB46424
GB46423-RA	GB46423
GB46503-RA	GB46503
GB46422-RA	GB46422
GB46421-RA	GB46421
GB46504-RA	GB46504
GB46505-RA	GB46505
GB46506-RA	GB46506
GB46507-RA	GB46507
GB46508-RA	GB46508
GB46509-RA	GB46509
GB46510-RA	GB46510
GB46420-RA	GB46420
GB46511-RA	GB46511
GB46512-RA	GB46512
GB46419-RA	GB46419
GB46418-RA	GB46418
GB46513-RA	GB46513
GB46514-RA	GB46514
GB46515-RA	GB46515
GB46516-RA	GB46516
GB46517-RA	GB46517
GB46518-RA	GB46518
GB46417-RA	GB46417
GB46416-RA	GB46416
GB46415-RA	GB46415
GB46414-RA	GB46414
GB46519-RA	GB46519
GB46413-RA	GB46413
GB46412-RA	GB46412
GB46411-RA	GB46411
GB46410-RA	GB46410
GB46409-RA	GB46409
GB46408-RA	GB46408
GB46520-RA	GB46520
GB46521-RA	GB46521
GB46522-RA	GB46522
GB46523-RA	GB46523
GB46524-RA	GB46524
GB46406-RA	GB46406
GB46525-RA	GB46525
GB46526-RA	GB46526
GB46405-RA	GB46405
GB46404-RA	GB46404
GB46527-RA	GB46527
GB46528-RA	GB46528
GB46529-RA	GB46529
GB46403-RA	GB46403
GB52130-RA	GB52130
GB52129-RA	GB52129
GB52128-RA	GB52128
GB52131-RA	GB52131
GB52127-RA	GB52127
GB52132-RA	GB52132
GB52126-RA	GB52126
GB52125-RA	GB52125
GB52124-RA	GB52124
GB52133-RA	GB52133
GB52134-RA	GB52134
GB53886-RA	GB53886
GB53887-RA	GB53887
GB53888-RA	GB53888
GB53885-RA	GB53885
GB55287-RA	GB55287
GB55286-RA	GB55286
GB55285-RA	GB55285
GB55288-RA	GB55288
GB55290-RA	GB55290
GB55291-RA	GB55291
GB55284-RA	GB55284
GB55292-RA	GB55292
GB55293-RA	GB55293
GB55294-RA	GB55294
GB55295-RA	GB55295
GB55283-RA	GB55283
GB55296-RA	GB55296
GB55282-RA	GB55282
GB55297-RA	GB55297
GB55281-RA	GB55281
GB55298-RA	GB55298
GB55280-RA	GB55280
GB55279-RA	GB55279
GB55278-RA	GB55278
GB55277-RA	GB55277
GB55299-RA	GB55299
GB55276-RA	GB55276
GB55300-RA	GB55300
GB55301-RA	GB55301
GB55302-RA	GB55302
GB55303-RA	GB55303
GB55275-RA	GB55275
GB55274-RA	GB55274
GB55304-RA	GB55304
GB55273-RA	GB55273
GB55272-RA	GB55272
GB55270-RA	GB55270
GB55269-RA	GB55269
GB55305-RA	GB55305
GB55268-RA	GB55268
GB55266-RA	GB55266
GB55306-RA	GB55306
GB55265-RA	GB55265
GB55264-RA	GB55264
GB55263-RA	GB55263
GB55307-RA	GB55307
GB55262-RA	GB55262
GB55261-RA	GB55261
GB45788-RA	GB45788
GB45787-RA	GB45787
GB45786-RA	GB45786
GB45789-RA	GB45789
GB45785-RA	GB45785
GB45784-RA	GB45784
GB45791-RA	GB45791
GB45783-RA	GB45783
GB45782-RA	GB45782
GB47448-RA	GB47448
GB47447-RA	GB47447
GB47446-RA	GB47446
GB47445-RA	GB47445
GB47444-RA	GB47444
GB47449-RA	GB47449
GB47443-RA	GB47443
GB47450-RA	GB47450
GB47441-RA	GB47441
GB47451-RA	GB47451
GB47440-RA	GB47440
GB47452-RA	GB47452
GB47453-RA	GB47453
GB47439-RA	GB47439
GB47438-RA	GB47438
GB47437-RA	GB47437
GB47436-RA	GB47436
GB47454-RA	GB47454
GB47455-RA	GB47455
GB47456-RA	GB47456
GB47457-RA	GB47457
GB47458-RA	GB47458
GB47435-RA	GB47435
GB47459-RA	GB47459
GB47460-RA	GB47460
GB47461-RA	GB47461
GB47434-RA	GB47434
GB47433-RA	GB47433
GB47432-RA	GB47432
GB47462-RA	GB47462
GB47431-RA	GB47431
GB47430-RA	GB47430
GB47429-RA	GB47429
GB47463-RA	GB47463
GB47428-RA	GB47428
GB47427-RA	GB47427
GB47464-RA	GB47464
GB47465-RA	GB47465
GB47426-RA	GB47426
GB47425-RA	GB47425
GB47424-RA	GB47424
GB47466-RA	GB47466
GB47423-RA	GB47423
GB47422-RA	GB47422
GB47467-RA	GB47467
GB47468-RA	GB47468
GB47420-RA	GB47420
GB47469-RA	GB47469
GB47470-RA	GB47470
GB47471-RA	GB47471
GB47419-RA	GB47419
GB47418-RA	GB47418
GB47472-RA	GB47472
GB47473-RA	GB47473
GB47417-RA	GB47417
GB47416-RA	GB47416
GB47474-RA	GB47474
GB47475-RA	GB47475
GB47415-RA	GB47415
GB47476-RA	GB47476
GB47414-RA	GB47414
GB47477-RA	GB47477
GB47413-RA	GB47413
GB47478-RA	GB47478
GB47412-RA	GB47412
GB47479-RA	GB47479
GB47411-RA	GB47411
GB47480-RA	GB47480
GB47481-RA	GB47481
GB47410-RA	GB47410
GB47409-RA	GB47409
GB47482-RA	GB47482
GB47408-RA	GB47408
GB47483-RA	GB47483
GB47407-RA	GB47407
GB47484-RA	GB47484
GB47485-RA	GB47485
GB47406-RA	GB47406
GB47486-RA	GB47486
GB47487-RA	GB47487
GB47488-RA	GB47488
GB47489-RA	GB47489
GB47405-RA	GB47405
GB47404-RA	GB47404
GB47403-RA	GB47403
GB47490-RA	GB47490
GB47402-RA	GB47402
GB47491-RA	GB47491
GB47492-RA	GB47492
GB47401-RA	GB47401
GB47400-RA	GB47400
GB47399-RA	GB47399
GB47493-RA	GB47493
GB47494-RA	GB47494
GB47398-RA	GB47398
GB47397-RA	GB47397
GB47396-RA	GB47396
GB47495-RA	GB47495
GB47395-RA	GB47395
GB47394-RA	GB47394
GB47496-RA	GB47496
GB47497-RA	GB47497
GB47393-RA	GB47393
GB47498-RA	GB47498
GB47392-RA	GB47392
GB47499-RA	GB47499
GB47391-RA	GB47391
GB47500-RA	GB47500
GB47390-RA	GB47390
GB47389-RA	GB47389
GB47502-RA	GB47502
GB47388-RA	GB47388
GB47387-RA	GB47387
GB47386-RA	GB47386
GB47385-RA	GB47385
GB47384-RA	GB47384
GB47503-RA	GB47503
GB47383-RA	GB47383
GB47382-RA	GB47382
GB47504-RA	GB47504
GB47381-RA	GB47381
GB47505-RA	GB47505
GB47506-RA	GB47506
GB47380-RA	GB47380
GB47507-RA	GB47507
GB47508-RA	GB47508
GB47509-RA	GB47509
GB47379-RA	GB47379
GB47378-RA	GB47378
GB47510-RA	GB47510
GB47377-RA	GB47377
GB47511-RA	GB47511
GB47512-RA	GB47512
GB47513-RA	GB47513
GB47514-RA	GB47514
GB47515-RA	GB47515
GB47376-RA	GB47376
GB47375-RA	GB47375
GB47374-RA	GB47374
GB47516-RA	GB47516
GB47517-RA	GB47517
GB47518-RA	GB47518
GB47373-RA	GB47373
GB47372-RA	GB47372
GB47371-RA	GB47371
GB47519-RA	GB47519
GB47370-RA	GB47370
GB47369-RA	GB47369
GB47368-RA	GB47368
GB50349-RA	GB50349
GB50350-RA	GB50350
GB50348-RA	GB50348
GB50347-RA	GB50347
GB50351-RA	GB50351
GB50352-RA	GB50352
GB50353-RA	GB50353
GB50354-RA	GB50354
GB50346-RA	GB50346
GB50355-RA	GB50355
GB50345-RA	GB50345
GB50344-RA	GB50344
GB50356-RA	GB50356
GB50357-RA	GB50357
GB50343-RA	GB50343
GB50359-RA	GB50359
GB50360-RA	GB50360
GB50361-RA	GB50361
GB50342-RA	GB50342
GB50362-RA	GB50362
GB50363-RA	GB50363
GB50341-RA	GB50341
GB50364-RA	GB50364
GB50340-RA	GB50340
GB50365-RA	GB50365
GB50366-RA	GB50366
GB50339-RA	GB50339
GB50338-RA	GB50338
GB50367-RA	GB50367
GB50337-RA	GB50337
GB50368-RA	GB50368
GB50336-RA	GB50336
GB50369-RA	GB50369
GB50335-RA	GB50335
GB50370-RA	GB50370
GB50371-RA	GB50371
GB50334-RA	GB50334
GB50333-RA	GB50333
GB50372-RA	GB50372
GB50373-RA	GB50373
GB50332-RA	GB50332
GB50331-RA	GB50331
GB50374-RA	GB50374
GB50330-RA	GB50330
GB50375-RA	GB50375
GB50376-RA	GB50376
GB49728-RA	GB49728
GB49729-RA	GB49729
GB49730-RA	GB49730
GB49732-RA	GB49732
GB49727-RA	GB49727
GB49733-RA	GB49733
GB49734-RA	GB49734
GB49726-RA	GB49726
GB49735-RA	GB49735
GB49736-RA	GB49736
GB49737-RA	GB49737
GB49738-RA	GB49738
GB49725-RA	GB49725
GB51943-RA	GB51943
GB51941-RA	GB51941
GB51940-RA	GB51940
GB51944-RA	GB51944
